Processor,Transistor count,Year,Designer,Process,Area ,Transistordensity,Processor,Transistor count,Year,Designer,Process,Area ,Transistordensity
Atom 64-bit 1-core 512 kB L2 cache,123000000,2010,Intel,45,66,1864000
Atom 64-bit 2-core 1 MB L2 cache,176000000,2010,Intel,45,87,2023000
SPARC T3,1000000000,2010,Sun/Oracle,40,377,2653000
Six-coreCore i7,1170000000,2010,Intel,32,240,4875000
POWER732M L3 ,1200000000,2010,IBM,45,567,2116000
Quad-corez196,1400000000,2010,IBM,45,512,2734000
Quad-core ItaniumTukwila,2000000000,2010,Intel,65,699,2861000
XeonNehalem-EX,2300000000,2010,Intel,45,684,3363000
SPARC64 IXfx,1870000000,2011,Fujitsu,40,484,3864000
Quad-core GPUCore i7,1160000000,2011,Intel,32,216,5370000
Six-coreCore i7/8-core Xeon E5 ,2270000000,2011,Intel,32,434,5230000
XeonWestmere-EX,2600000000,2011,Intel,32,512,5078000
"Atom""Medfield"" ",432000000,2012,Intel,32,64,6750000
SPARC64 X,2990000000,2012,Fujitsu,28,600,4983000
AMD Bulldozer,1200000000,2012,AMD,32,315,3810000
Quad-core  GPUAMD Trinity,1303000000,2012,AMD,32,246,5297000
Quad-core  GPUCore i7 Ivy Bridge,1400000000,2012,Intel,22,160,8750000
POWER7,2100000000,2012,IBM,32,567,3704000
Six-corezEC12,2750000000,2012,IBM,32,597,4606000
ItaniumPoulson,3100000000,2012,Intel,32,544,5699000
Xeon Phi,5000000000,2012,Intel,22,720,6944000
Apple A7,1000000000,2013,Apple,28,102,9804000
Six-coreCore i7 Ivy Bridge E,1860000000,2013,Intel,22,256,7266000
POWER8,4200000000,2013,IBM,22,650,6462000
Xbox Onemain SoC ,5000000000,2013,Microsoft AMD,28,363,13770000
Quad-core  GPUCore i7 Haswell,1400000000,2014,Intel,22,177,7910000
Apple A8,2000000000,2014,Apple,20,89,22470000
Core i7 Haswell-E,2600000000,2014,Intel,22,355,7324000
Apple A8X,3000000000,2014,Apple,20,128,23440000
Xeon Ivy Bridge-EX ,4310000000,2014,Intel,22,541,7967000
Xeon Haswell-E5,5560000000,2014,Intel,22,661,8411000
Quad-core  GPU GT2Core i7 Skylake K,1750000000,2015,Intel,14,122,14340000
Dual-core  GPU IrisCore i7 Broadwell-U,1900000000,2015,Intel,14,133,14290000
Apple A9,2000000000,2015,Apple,14,96,20800000
16,104.5,19100000
Apple A9X,3000000000,2015,Apple,16,143.9,20800000
IBM z13,3990000000,2015,IBM,22,678,5885000
IBM z13 Storage Controller,7100000000,2015,IBM,22,678,10472000
SPARCM7 ,10000000000,2015,Oracle,20,?,?
Core i7 Broadwell-E,3200000000,2016,Intel,14,246,13010000
Apple A10 Fusion,3300000000,2016,Apple,16,125,26400000
HiSilicon Kirin 960 ,4000000000,2016,Huawei,16,110.00,36360000
Xeon Broadwell-E5,7200000000,2016,Intel,14,456,15790000
Xeon Phi,8000000000,2016,Intel,14,683,11710000
Zip CPU ,1286,2016,Gisselquist Technology,?,?,?
Qualcomm Snapdragon 835,3000000000,2016,Qualcomm,10,72.3,41490000
Apple A11 Bionic,4300000000,2017,Apple,10,89.23,48190000
AMDZenCCX ,1400000000,2017,AMD,14,44,31800000
AMD Zeppelin SoCRyzen,4800000000,2017,AMD,14,192,25000000
AMD Ryzen 5 1600Ryzen,4800000000,2017,AMD,14,213,22530000
IBM z14,6100000000,2017,IBM,14,696,8764000
IBM z14 Storage Controller,9700000000,2017,IBM,14,696,13940000
HiSilicon Kirin 970 ,5500000000,2017,Huawei,10,96.72,56900000
Xbox One X main SoC ,7000000000,2017,Microsoft AMD,16,360,19440000
Xeon Platinum 8180,8000000000,2017,Intel,14,?,?
Xeon ,7100000000,2017,Intel,14,672,10570000
POWER9,8000000000,2017,IBM,14,695,11500000
Freedom U500 Base Platform Chip RISC-V,250000000,2017,SiFive,28,~30 mm2,8330000
SPARC64 XII,5450000000,2017,Fujitsu,20,795,6850000
Apple A10X Fusion,4300000000,2017,Apple,10,96.40,44600000
Centriq2400 ,18000000000,2017,Qualcomm,10,398,45200000
AMDEpyc,19200000000,2017,AMD,14,768,25000000
Qualcomm Snapdragon 845,5300000000,2017,Qualcomm,10,94,56400000
Qualcomm Snapdragon 850,5300000000,2017,Qualcomm,10,94,56400000
HiSilicon Kirin 710 ,5500000000,2018,Huawei,12,?,?
Apple A12 Bionic,6900000000,2018,Apple,7,83.27,82900000
HiSilicon Kirin 980 ,6900000000,2018,Huawei,7,74.13,93100000
Qualcomm Snapdragon 8cx / SCX8180,8500000000,2018,Qualcomm,7,112,75900000
Apple A12X Bionic,10000000000,2018,Apple,7,122,82000000
FujitsuA64FX ,8786000000,2018,Fujitsu,7,?,?
TegraXavier SoC ,9000000000,2018,Nvidia,12,350,25700000
Qualcomm Snapdragon 855,6700000000,2018,Qualcomm,7,73,91800000
AMDZen 2core ,475000000,2019,AMD,7,7.83,60664000
AMDZen 2CCX ,1900000000,2019,AMD,7,31.32,60664000
AMDZen 2CCD ,3800000000,2019,AMD,7,74,51350000
AMDZen 2client I/O die,2090000000,2019,AMD,12,125,16720000
AMDZen 2server I/O die,8340000000,2019,AMD,12,416,20050000
AMDZen 2Renoir die,9800000000,2019,AMD,7,156,62820000
AMDRyzen7 3700X ,5990000000,2019,AMD,7,199,30100000
HiSilicon Kirin 990 4G,8000000000,2019,Huawei,7,90.00,89000000
Apple A13,8500000000,2019,Apple,7,98.48,86300000
IBM z15 CP chip,9200000000,2019,IBM,14,696,13220000
IBM z15 SC chip,12200000000,2019,IBM,14,696,17530000
AMDRyzen9 3900X ,9890000000,2019,AMD,7,273,36230000
HiSilicon Kirin 990 5G,10300000000,2019,Huawei,7,113.31,90900000
AWS Graviton2 ,30000000000,2019,Amazon,7,?,?
AMDEpycRome ,39540000000,2019,AMD,7,1008,39226000
Qualcomm Snapdragon 865,10300000000,2019,Qualcomm,7,83.54,123300000
TI Jacinto TDA4VM ,3500000000,2020,Texas Instruments,16,?,?
Apple A14 Bionic,11800000000,2020,Apple,5,88,134100000
Apple M1,16000000000,2020,Apple,5,119,134500000
HiSilicon Kirin 9000,15300000000,2020,Huawei,5,114,134200000
AMDZen 3CCX ,4080000000,2020,AMD,7,68,60000000
AMDZen 3CCD ,4150000000,2020,AMD,7,81,51230000
Core 11th genRocket Lake,6000000000,2021,Intel,14,276,37500000
AMD Ryzen 7 5800H,10700000000,2021,AMD,7,180,59440000
AMD Epyc 7763 ,?,2021,AMD,7,1064,?
Apple A15,15000000000,2021,Apple,5,107.68,139300000
Apple M1 Pro,33700000000,2021,Apple,5,245,137600000
Apple M1 Max,57000000000,2021,Apple,5,420.2,135600000
Power10dual-chip module ,36000000000,2021,IBM,7,1204,29900000
Dimensity 9000,15300000000,2021,Mediatek,4,?,?
Apple A16,16000000000,2022,Apple,4,?,?
Apple M1 Ultra,114000000000,2022,Apple,5,840.5,135600000
AMD Epyc 7773X ,26000000000,2022,AMD,7,1352,?
IBM Telumdual-chip module ,45000000000,2022,IBM,7,1060,42450000
Apple M2,20000000000,2022,Apple,5,?,?
Dimensity 9200,17000000000,2022,Mediatek,4,?,?
Qualcomm Snapdragon 8 Gen 2,16000000000,2022,Qualcomm,4,268,59701492
AMDEPYC Genoa 13-chip module   96 MB  cache),90000000000,2022,AMD,5,1263.34,71240000
HiSilicon Kirin 9000s,9510000000,2023,Huawei,7,107,107690000
Apple M3,25000000000,2023,Apple,3,?,?
Apple M3 Pro,37000000000,2023,Apple,3,?,?
Apple M3 Max,92000000000,2023,Apple,3,?,?
Apple A17,19000000000,2023,Apple,3,103.8,183044315
Sapphire Rapidsquad-chip module ,44000000000,2023,Intel,10,1600,27500000
Apple M2 Pro,40000000000,2023,Apple,5,?,?
Apple M2 Max,67000000000,2023,Apple,5,?,?
Apple M2 Ultra,134000000000,2023,Apple,5,?,?
AMDEpyc Bergamo 9-chip module   128 MB  cache),82000000000,2023,AMD,5,?,?
AMD InstinctMI300A  cache),146000000000,2023,AMD,5,1017,144000000
